"","time","steps","day"
"457","18:00:00",992,"2015-01-05"
"458","18:15:00",931,"2015-01-05"
"459","18:30:00",221,"2015-01-05"
"460","18:45:00",255,"2015-01-05"
"461","19:00:00",31,"2015-01-05"
"462","19:15:00",146,"2015-01-05"
"463","19:30:00",66,"2015-01-05"
"464","19:45:00",0,"2015-01-05"
"465","20:00:00",10,"2015-01-05"
"466","20:15:00",17,"2015-01-05"
"467","20:30:00",0,"2015-01-05"
"468","20:45:00",0,"2015-01-05"
"469","21:00:00",28,"2015-01-05"
"470","21:15:00",0,"2015-01-05"
"471","21:30:00",96,"2015-01-05"
"472","21:45:00",15,"2015-01-05"
"473","22:00:00",7,"2015-01-05"
"474","22:15:00",0,"2015-01-05"
"475","22:30:00",0,"2015-01-05"
"476","22:45:00",0,"2015-01-05"
"477","23:00:00",0,"2015-01-05"
"478","23:15:00",0,"2015-01-05"
"479","23:30:00",0,"2015-01-05"
"480","23:45:00",0,"2015-01-05"
"481","00:00:00",0,"2015-01-06"
"482","00:15:00",0,"2015-01-06"
"483","00:30:00",0,"2015-01-06"
"484","00:45:00",0,"2015-01-06"
"485","01:00:00",0,"2015-01-06"
"486","01:15:00",0,"2015-01-06"
"487","01:30:00",0,"2015-01-06"
"488","01:45:00",0,"2015-01-06"
"489","02:00:00",0,"2015-01-06"
"490","02:15:00",0,"2015-01-06"
"491","02:30:00",0,"2015-01-06"
"492","02:45:00",0,"2015-01-06"
"493","03:00:00",0,"2015-01-06"
"494","03:15:00",0,"2015-01-06"
"495","03:30:00",0,"2015-01-06"
"496","03:45:00",0,"2015-01-06"
"497","04:00:00",0,"2015-01-06"
"498","04:15:00",0,"2015-01-06"
"499","04:30:00",0,"2015-01-06"
"500","04:45:00",0,"2015-01-06"
"501","05:00:00",0,"2015-01-06"
"502","05:15:00",0,"2015-01-06"
"503","05:30:00",18,"2015-01-06"
"504","05:45:00",56,"2015-01-06"
"505","06:00:00",0,"2015-01-06"
"506","06:15:00",0,"2015-01-06"
"507","06:30:00",0,"2015-01-06"
"508","06:45:00",0,"2015-01-06"
"509","07:00:00",0,"2015-01-06"
"510","07:15:00",9,"2015-01-06"
"511","07:30:00",0,"2015-01-06"
"512","07:45:00",0,"2015-01-06"
"513","08:00:00",0,"2015-01-06"
"514","08:15:00",0,"2015-01-06"
"515","08:30:00",84,"2015-01-06"
"516","08:45:00",309,"2015-01-06"
"517","09:00:00",221,"2015-01-06"
"518","09:15:00",61,"2015-01-06"
"519","09:30:00",156,"2015-01-06"
"520","09:45:00",0,"2015-01-06"
"521","10:00:00",5,"2015-01-06"
"522","10:15:00",30,"2015-01-06"
"523","10:30:00",136,"2015-01-06"
"524","10:45:00",467,"2015-01-06"
"525","11:00:00",141,"2015-01-06"
"526","11:15:00",585,"2015-01-06"
"527","11:30:00",534,"2015-01-06"
"528","11:45:00",116,"2015-01-06"
"529","12:00:00",940,"2015-01-06"
"530","12:15:00",614,"2015-01-06"
"531","12:30:00",163,"2015-01-06"
"532","12:45:00",348,"2015-01-06"
"533","13:00:00",0,"2015-01-06"
"534","13:15:00",86,"2015-01-06"
"535","13:30:00",46,"2015-01-06"
"536","13:45:00",171,"2015-01-06"
"537","14:00:00",95,"2015-01-06"
"538","14:15:00",0,"2015-01-06"
"539","14:30:00",98,"2015-01-06"
"540","14:45:00",124,"2015-01-06"
"541","15:00:00",103,"2015-01-06"
"542","15:15:00",100,"2015-01-06"
"543","15:30:00",130,"2015-01-06"
"544","15:45:00",719,"2015-01-06"
"545","16:00:00",0,"2015-01-06"
"546","16:15:00",0,"2015-01-06"
"547","16:30:00",0,"2015-01-06"
"548","16:45:00",730,"2015-01-06"
"549","17:00:00",420,"2015-01-06"
"550","17:15:00",181,"2015-01-06"
"551","17:30:00",100,"2015-01-06"
"552","17:45:00",13,"2015-01-06"
"553","18:00:00",178,"2015-01-06"
"554","18:15:00",0,"2015-01-06"
"555","18:30:00",435,"2015-01-06"
"556","18:45:00",509,"2015-01-06"
"557","19:00:00",12,"2015-01-06"
"558","19:15:00",0,"2015-01-06"
"559","19:30:00",0,"2015-01-06"
"560","19:45:00",0,"2015-01-06"
"561","20:00:00",0,"2015-01-06"
"562","20:15:00",0,"2015-01-06"
"563","20:30:00",0,"2015-01-06"
"564","20:45:00",0,"2015-01-06"
"565","21:00:00",0,"2015-01-06"
"566","21:15:00",0,"2015-01-06"
"567","21:30:00",0,"2015-01-06"
"568","21:45:00",79,"2015-01-06"
"569","22:00:00",28,"2015-01-06"
"570","22:15:00",40,"2015-01-06"
"571","22:30:00",34,"2015-01-06"
"572","22:45:00",0,"2015-01-06"
"573","23:00:00",0,"2015-01-06"
"574","23:15:00",0,"2015-01-06"
"575","23:30:00",19,"2015-01-06"
"576","23:45:00",0,"2015-01-06"
"577","00:00:00",0,"2015-01-07"
"578","00:15:00",53,"2015-01-07"
"579","00:30:00",7,"2015-01-07"
"580","00:45:00",0,"2015-01-07"
"581","01:00:00",0,"2015-01-07"
"582","01:15:00",0,"2015-01-07"
"583","01:30:00",0,"2015-01-07"
"584","01:45:00",0,"2015-01-07"
"585","02:00:00",0,"2015-01-07"
"586","02:15:00",0,"2015-01-07"
"587","02:30:00",0,"2015-01-07"
"588","02:45:00",0,"2015-01-07"
"589","03:00:00",0,"2015-01-07"
"590","03:15:00",0,"2015-01-07"
"591","03:30:00",0,"2015-01-07"
"592","03:45:00",0,"2015-01-07"
"593","04:00:00",0,"2015-01-07"
"594","04:15:00",0,"2015-01-07"
"595","04:30:00",0,"2015-01-07"
"596","04:45:00",10,"2015-01-07"
"597","05:00:00",0,"2015-01-07"
"598","05:15:00",0,"2015-01-07"
"599","05:30:00",0,"2015-01-07"
"600","05:45:00",0,"2015-01-07"
"601","06:00:00",0,"2015-01-07"
"602","06:15:00",0,"2015-01-07"
"603","06:30:00",7,"2015-01-07"
"604","06:45:00",0,"2015-01-07"
"605","07:00:00",16,"2015-01-07"
"606","07:15:00",0,"2015-01-07"
"607","07:30:00",0,"2015-01-07"
"608","07:45:00",148,"2015-01-07"
"609","08:00:00",283,"2015-01-07"
"610","08:15:00",468,"2015-01-07"
"611","08:30:00",0,"2015-01-07"
"612","08:45:00",362,"2015-01-07"
"613","09:00:00",209,"2015-01-07"
"614","09:15:00",54,"2015-01-07"
"615","09:30:00",34,"2015-01-07"
"616","09:45:00",75,"2015-01-07"
"617","10:00:00",21,"2015-01-07"
"618","10:15:00",104,"2015-01-07"
"619","10:30:00",25,"2015-01-07"
"620","10:45:00",1026,"2015-01-07"
"621","11:00:00",234,"2015-01-07"
"622","11:15:00",15,"2015-01-07"
"623","11:30:00",0,"2015-01-07"
"624","11:45:00",537,"2015-01-07"
"625","12:00:00",535,"2015-01-07"
"626","12:15:00",86,"2015-01-07"
"627","12:30:00",45,"2015-01-07"
"628","12:45:00",99,"2015-01-07"
"629","13:00:00",403,"2015-01-07"
"630","13:15:00",65,"2015-01-07"
"631","13:30:00",0,"2015-01-07"
"632","13:45:00",86,"2015-01-07"
"633","14:00:00",6,"2015-01-07"
"634","14:15:00",43,"2015-01-07"
"635","14:30:00",108,"2015-01-07"
"636","14:45:00",25,"2015-01-07"
"637","15:00:00",18,"2015-01-07"
"638","15:15:00",42,"2015-01-07"
"639","15:30:00",918,"2015-01-07"
"640","15:45:00",12,"2015-01-07"
"641","16:00:00",31,"2015-01-07"
"642","16:15:00",9,"2015-01-07"
"643","16:30:00",396,"2015-01-07"
"644","16:45:00",341,"2015-01-07"
"645","17:00:00",420,"2015-01-07"
"646","17:15:00",342,"2015-01-07"
"647","17:30:00",374,"2015-01-07"
"648","17:45:00",145,"2015-01-07"
"649","18:00:00",761,"2015-01-07"
"650","18:15:00",666,"2015-01-07"
"651","18:30:00",118,"2015-01-07"
"652","18:45:00",214,"2015-01-07"
"653","19:00:00",264,"2015-01-07"
"654","19:15:00",0,"2015-01-07"
"655","19:30:00",12,"2015-01-07"
"656","19:45:00",0,"2015-01-07"
"657","20:00:00",0,"2015-01-07"
"658","20:15:00",0,"2015-01-07"
"659","20:30:00",6,"2015-01-07"
"660","20:45:00",0,"2015-01-07"
"661","21:00:00",0,"2015-01-07"
"662","21:15:00",0,"2015-01-07"
"663","21:30:00",0,"2015-01-07"
"664","21:45:00",110,"2015-01-07"
"665","22:00:00",19,"2015-01-07"
"666","22:15:00",4,"2015-01-07"
"667","22:30:00",13,"2015-01-07"
"668","22:45:00",6,"2015-01-07"
"669","23:00:00",6,"2015-01-07"
"670","23:15:00",0,"2015-01-07"
"671","23:30:00",0,"2015-01-07"
"672","23:45:00",0,"2015-01-07"
"673","00:00:00",0,"2015-01-08"
"674","00:15:00",0,"2015-01-08"
"675","00:30:00",7,"2015-01-08"
"676","00:45:00",0,"2015-01-08"
"677","01:00:00",0,"2015-01-08"
"678","01:15:00",0,"2015-01-08"
"679","01:30:00",0,"2015-01-08"
"680","01:45:00",0,"2015-01-08"
"681","02:00:00",0,"2015-01-08"
"682","02:15:00",0,"2015-01-08"
"683","02:30:00",0,"2015-01-08"
"684","02:45:00",0,"2015-01-08"
"685","03:00:00",0,"2015-01-08"
"686","03:15:00",0,"2015-01-08"
"687","03:30:00",0,"2015-01-08"
"688","03:45:00",0,"2015-01-08"
"689","04:00:00",0,"2015-01-08"
"690","04:15:00",0,"2015-01-08"
"691","04:30:00",0,"2015-01-08"
"692","04:45:00",0,"2015-01-08"
"693","05:00:00",0,"2015-01-08"
"694","05:15:00",0,"2015-01-08"
"695","05:30:00",0,"2015-01-08"
"696","05:45:00",6,"2015-01-08"
"697","06:00:00",0,"2015-01-08"
