"time","steps","date","wday","hour","minute","month"
2014-10-02 14:30:00,0,"2014-10-02","Thurs",14,30,10
2014-10-02 14:45:00,0,"2014-10-02","Thurs",14,45,10
2014-10-02 15:00:00,0,"2014-10-02","Thurs",15,0,10
2014-10-02 15:15:00,0,"2014-10-02","Thurs",15,15,10
2014-10-02 15:30:00,0,"2014-10-02","Thurs",15,30,10
2014-10-02 15:45:00,0,"2014-10-02","Thurs",15,45,10
2014-10-02 16:00:00,0,"2014-10-02","Thurs",16,0,10
2014-10-02 16:15:00,0,"2014-10-02","Thurs",16,15,10
2014-10-02 16:30:00,0,"2014-10-02","Thurs",16,30,10
2014-10-02 16:45:00,0,"2014-10-02","Thurs",16,45,10
2014-10-02 17:00:00,0,"2014-10-02","Thurs",17,0,10
2014-10-02 17:15:00,0,"2014-10-02","Thurs",17,15,10
2014-10-02 17:30:00,0,"2014-10-02","Thurs",17,30,10
2014-10-02 17:45:00,0,"2014-10-02","Thurs",17,45,10
2014-10-02 18:00:00,0,"2014-10-02","Thurs",18,0,10
2014-10-02 18:15:00,0,"2014-10-02","Thurs",18,15,10
2014-10-02 18:30:00,0,"2014-10-02","Thurs",18,30,10
2014-10-02 18:45:00,0,"2014-10-02","Thurs",18,45,10
2014-10-02 19:00:00,0,"2014-10-02","Thurs",19,0,10
2014-10-02 19:15:00,0,"2014-10-02","Thurs",19,15,10
2014-10-02 19:30:00,0,"2014-10-02","Thurs",19,30,10
2014-10-02 19:45:00,0,"2014-10-02","Thurs",19,45,10
2014-10-02 20:00:00,0,"2014-10-02","Thurs",20,0,10
2014-10-02 20:15:00,0,"2014-10-02","Thurs",20,15,10
2014-10-02 20:30:00,0,"2014-10-02","Thurs",20,30,10
2014-10-02 20:45:00,0,"2014-10-02","Thurs",20,45,10
2014-10-02 21:00:00,0,"2014-10-02","Thurs",21,0,10
2014-10-02 21:15:00,0,"2014-10-02","Thurs",21,15,10
2014-10-02 21:30:00,0,"2014-10-02","Thurs",21,30,10
2014-10-02 21:45:00,0,"2014-10-02","Thurs",21,45,10
2014-10-02 22:00:00,0,"2014-10-02","Thurs",22,0,10
2014-10-02 22:15:00,0,"2014-10-02","Thurs",22,15,10
2014-10-02 22:30:00,0,"2014-10-02","Thurs",22,30,10
2014-10-02 22:45:00,0,"2014-10-02","Thurs",22,45,10
2014-10-02 23:00:00,0,"2014-10-02","Thurs",23,0,10
2014-10-02 23:15:00,0,"2014-10-02","Thurs",23,15,10
2014-10-02 23:30:00,0,"2014-10-02","Thurs",23,30,10
2014-10-02 23:45:00,0,"2014-10-02","Thurs",23,45,10
2014-10-03 00:00:00,0,"2014-10-03","Fri",0,0,10
2014-10-03 00:15:00,0,"2014-10-03","Fri",0,15,10
2014-10-03 00:30:00,0,"2014-10-03","Fri",0,30,10
