"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"181","2015-03-21","16:07","16:46","39","NULL","2","NULL","NULL","33","3.5","33"
"182","2015-03-22","22:41","5:15","394","NULL","2","NULL","NULL","379","8.5","87"
"183","2015-07-10","21:14","5:18","484","NULL","11","NULL","NULL","459","9","90"
"184","2015-01-29","21:26","4:30","424","NULL","6","NULL","NULL","404","9","91"
"185","2015-01-24","22:06","7:49","583","NULL","2","NULL","NULL","568","10","98"
"186","2015-08-06","21:11","4:16","425","NULL","7","NULL","NULL","403","9","89"
"187","2015-06-07","23:07","7:09","482","NULL","7","NULL","NULL","465","9.5","94"
"188","2015-03-05","21:17","4:31","434","NULL","5","NULL","NULL","418","9","92"
"189","2015-08-28","21:01","5:38","517","NULL","11","NULL","NULL","487","9","92"
"190","2014-12-20","21:33","6:08","515","NULL","5","NULL","NULL","498","9.5","95"
"191","2015-04-01","21:26","23:15","109","NULL","2","NULL","NULL","102","4","42"
"192","2015-03-06","21:14","6:06","532","NULL","12","NULL","NULL","500","9","90"
"193","2015-04-23","21:00","4:21","441","NULL","7","NULL","NULL","415","9","90"
"194","2015-07-08","21:05","4:17","432","NULL","9","NULL","NULL","403","8.5","87"
"195","2015-09-07","21:39","5:42","483","NULL","4","NULL","NULL","474","9.5","95"
"196","2015-05-18","21:05","21:16","11","NULL","1","NULL","NULL","0","0","0"
"197","2015-01-15","22:56","8:42","586","NULL","5","NULL","NULL","571","9.5","97"
"198","2015-03-10","21:18","4:17","419","NULL","11","NULL","NULL","394","9","88"
"199","2015-03-09","21:31","13:32","961","NULL","51","NULL","NULL","724","7.5","74"
"200","2015-01-27","21:34","4:37","423","NULL","7","NULL","NULL","408","9.5","93"
"201","2015-08-16","21:44","4:28","404","NULL","5","NULL","NULL","391","9","88"
"202","2015-06-11","21:07","4:16","429","NULL","9","NULL","NULL","404","9","88"
"203","2014-12-09","21:34","4:19","405","NULL","4","NULL","NULL","393","9","89"
"204","2015-04-10","21:15","2:29","314","NULL","4","NULL","NULL","301","7.5","74"
"205","2015-02-08","21:47","6:24","517","NULL","10","NULL","NULL","493","9.5","93"
"206","2015-02-18","21:02","4:15","433","NULL","6","NULL","NULL","415","9","90"
"207","2014-11-16","21:21","6:05","524","NULL","8","NULL","NULL","508","9.5","95"
"208","2014-12-27","22:47","6:44","477","NULL","10","NULL","NULL","450","9","90"
"209","2015-06-30","21:18","4:08","410","NULL","7","NULL","NULL","385","8.5","85"
"210","2015-03-30","21:20","21:56","36","NULL","1","NULL","NULL","29","3","31"
"211","2015-05-19","21:16","4:19","423","NULL","9","NULL","NULL","407","9","91"
"212","2015-07-31","21:20","6:01","521","NULL","8","NULL","NULL","484","9","90"
"213","2015-02-07","21:38","6:56","558","NULL","5","NULL","NULL","541","9.5","96"
"214","2015-02-17","21:25","4:20","415","NULL","6","NULL","NULL","397","9","90"
"215","2015-03-20","21:28","6:16","528","NULL","13","NULL","NULL","489","9","92"
"216","2015-01-30","21:26","5:46","500","NULL","8","NULL","NULL","478","9","92"
"217","2015-05-12","21:15","4:18","423","NULL","3","NULL","NULL","407","9","91"
"218","2015-01-11","20:05","2:00","355","NULL","4","NULL","NULL","338","7.5","77"
"219","2014-11-13","21:14","4:33","439","NULL","4","NULL","NULL","429","9.5","94"
"220","2015-05-16","21:06","5:27","501","NULL","4","NULL","NULL","492","9.5","96"
"221","2015-09-20","14:26","14:52","26","NULL","3","NULL","NULL","0","0","0"
"222","2015-03-14","22:17","7:31","554","NULL","8","NULL","NULL","526","9.5","95"
"223","2015-07-27","18:56","2:40","464","NULL","10","NULL","NULL","442","9","91"
"224","2015-01-04","22:29","6:50","501","NULL","6","NULL","NULL","486","9.5","96"
"225","2015-09-14","21:25","5:28","483","NULL","8","NULL","NULL","456","9","90"
"226","2014-11-11","21:54","5:49","475","NULL","5","NULL","NULL","463","9.5","95"
"227","2015-06-09","21:23","4:15","412","NULL","6","NULL","NULL","393","9","88"
"228","2015-08-21","21:07","4:41","454","NULL","9","NULL","NULL","431","9","90"
"229","2015-05-27","21:31","4:17","406","NULL","11","NULL","NULL","376","8","81"
"230","2015-08-02","21:01","5:33","512","NULL","5","NULL","NULL","501","9.5","96"
"231","2015-06-22","21:42","5:03","441","NULL","9","NULL","NULL","416","9","89"
"232","2015-03-25","22:16","5:53","457","NULL","6","NULL","NULL","438","9","91"
"233","2015-02-09","21:36","5:45","489","NULL","7","NULL","NULL","468","9","92"
"234","2015-06-03","21:35","4:17","402","NULL","10","NULL","NULL","382","8.5","84"
"235","2015-04-04","22:09","6:53","524","NULL","9","NULL","NULL","498","9.5","93"
"236","2014-12-01","22:44","6:35","471","NULL","8","NULL","NULL","458","9.5","95"
"237","2015-07-13","21:15","5:41","506","NULL","6","NULL","NULL","490","9.5","94"
"238","2014-12-15","21:46","5:42","476","NULL","6","NULL","NULL","455","9","91"
"239","2015-05-11","21:22","5:46","504","NULL","4","NULL","NULL","490","9.5","94"
"240","2015-06-05","21:38","4:35","417","NULL","11","NULL","NULL","392","8.5","86"
"241","2015-04-03","21:37","5:51","494","NULL","3","NULL","NULL","478","9.5","94"
"242","2015-07-02","21:10","4:18","428","NULL","13","NULL","NULL","406","9","88"
"243","2015-05-28","21:12","4:15","423","NULL","6","NULL","NULL","407","9.5","93"
"244","2015-01-26","21:14","5:54","520","NULL","8","NULL","NULL","503","9.5","95"
"245","2014-12-06","22:55","7:47","532","NULL","9","NULL","NULL","517","9.5","95"
"246","2014-12-17","21:28","4:16","408","NULL","6","NULL","NULL","389","8.5","87"
"247","2015-02-13","21:17","6:00","523","NULL","8","NULL","NULL","507","9.5","95"
"248","2015-08-30","21:16","5:43","507","NULL","9","NULL","NULL","481","9","91"
"249","2014-12-11","21:19","4:15","416","NULL","5","NULL","NULL","403","9","91"
"250","2015-01-25","0:00","6:43","403","NULL","5","NULL","NULL","390","9","88"
"251","2015-01-21","21:28","4:01","393","NULL","9","NULL","NULL","370","8","81"
"252","2015-02-22","22:25","6:21","476","NULL","7","NULL","NULL","455","9","92"
"253","2015-07-16","23:11","5:45","394","NULL","4","NULL","NULL","378","8.5","84"
"254","2015-02-05","21:24","4:30","426","NULL","11","NULL","NULL","410","9","92"
"255","2014-11-30","22:56","7:29","513","NULL","11","NULL","NULL","477","9.5","95"
"256","2014-11-07","21:22","5:50","508","NULL","7","NULL","NULL","497","9.5","96"
"257","2014-12-05","21:40","5:36","476","NULL","11","NULL","NULL","450","9","90"
"258","2015-06-25","21:30","4:15","405","NULL","9","NULL","NULL","368","8","79"
"259","2015-05-08","22:49","5:46","417","NULL","5","NULL","NULL","401","9","91"
