"","time","steps","date","wday","hour","minute","month"
"159",2015-01-02 15:30:00,0,"2015-01-02","Fri",15,30,1
"160",2015-01-02 15:45:00,0,"2015-01-02","Fri",15,45,1
"161",2015-01-02 16:00:00,0,"2015-01-02","Fri",16,0,1
"162",2015-01-02 16:15:00,0,"2015-01-02","Fri",16,15,1
"163",2015-01-02 16:30:00,0,"2015-01-02","Fri",16,30,1
"164",2015-01-02 16:45:00,0,"2015-01-02","Fri",16,45,1
"165",2015-01-02 17:00:00,0,"2015-01-02","Fri",17,0,1
"166",2015-01-02 17:15:00,0,"2015-01-02","Fri",17,15,1
"167",2015-01-02 17:30:00,0,"2015-01-02","Fri",17,30,1
"168",2015-01-02 17:45:00,0,"2015-01-02","Fri",17,45,1
"169",2015-01-02 18:00:00,0,"2015-01-02","Fri",18,0,1
"170",2015-01-02 18:15:00,0,"2015-01-02","Fri",18,15,1
"171",2015-01-02 18:30:00,0,"2015-01-02","Fri",18,30,1
"172",2015-01-02 18:45:00,0,"2015-01-02","Fri",18,45,1
"173",2015-01-02 19:00:00,0,"2015-01-02","Fri",19,0,1
"174",2015-01-02 19:15:00,0,"2015-01-02","Fri",19,15,1
"175",2015-01-02 19:30:00,0,"2015-01-02","Fri",19,30,1
"176",2015-01-02 19:45:00,0,"2015-01-02","Fri",19,45,1
"177",2015-01-02 20:00:00,0,"2015-01-02","Fri",20,0,1
"178",2015-01-02 20:15:00,0,"2015-01-02","Fri",20,15,1
"179",2015-01-02 20:30:00,0,"2015-01-02","Fri",20,30,1
"180",2015-01-02 20:45:00,0,"2015-01-02","Fri",20,45,1
"181",2015-01-02 21:00:00,0,"2015-01-02","Fri",21,0,1
"182",2015-01-02 21:15:00,0,"2015-01-02","Fri",21,15,1
"183",2015-01-02 21:30:00,0,"2015-01-02","Fri",21,30,1
"184",2015-01-02 21:45:00,0,"2015-01-02","Fri",21,45,1
"185",2015-01-02 22:00:00,0,"2015-01-02","Fri",22,0,1
